A Dot Marine Pte Ltd                              ,"bendu@adotmarine.com.sg,alsovec@singnet.sg                       "
Adani Bunkering Pte Ltd                           ,bunkers@adani.com                                                
Aegean Bunkering (Singapore) Pte Ltd              ,"bunkers@ampni.com,singapore@ampni.com                            "
BP Singapore Pte Ltd                              ,"gchnmarinefuelsupply@bp.com,gsinmarsupply@se1.bp.com             "
Bomin Bunker Oil Pte Ltd                          ,bunkers@bomin.com.sg                                             
Brightoil Petroleum (Holdings) Ltd                ,"inquiry@bwoil.hk,bunkering@bwoil.com                             "
Bunker House Petroleum Pte Ltd                    ,"bhppl@singnet.com.sg,sales@bunkerhse.com.sg                      "
Cathay Marine Fuel Oil Trading Pte Ltd            ,sales@cathaymarine.com.sg                                        
Central Star Marine Supplies Pte Ltd              ,yee@centralstar.com.sg                                           
Chemoil International Pte Ltd                     ,spmarketing@chemoil.com                                          
Chevron Global Marine Products                    ,gmpsgb@chevron.com                                               
Coastal Oil Singapore Pte Ltd                     ,"trading.cos@coastalpetrol.com,bunker.cos@coastalpetrol.com       "
Consort Bunkers Pte Ltd                           ,bunkers@consortbunkers.com.sg                                    
Eastpec Trading Pte Ltd                           ,"info@eastpec.com,bunker@eastpec.com                              "
Eastpoint International Marketing Pte Ltd         ,"marketing@eastpoint.com.sg,alvin.tan@eastpoint.com.sg            "
Equatorial Marine Fuel Management Services Pte Ltd,bunkers@emf.com.sg                                               
ExxonMobil Asia Pacific Pte Ltd                   ,asiapac.marinefuels@exxonmobil.com                               
Fratelli Cosulich Bunkers (S) Pte Ltd             ,bunker@cosulich.com.sg                                           
Global Energy International Ltd                   ,"enquiries@globalenergy.com.sg,admin@globalenergy.com.sg          "
Global Marine Transportation Pte Ltd              ,opns@globalmarinetpt.com                                         
Golden Island Diesel Oil Trading Pte Ltd          ,bunker@golden-island.com.sg                                      
Golden Lights Hs Bunkering Pte Ltd                ,operations@goldenlights.com.sg                                   
Grandeur Trading &amp; Services Pte Ltd           ,info@grandeur.com.sg                                             
Hai Fu Marine Services Pte Ltd                    ,"haisoon@singnet.com.sg,lena@haisoon.com,haifumarine@yahoo.com.sg "
Hai Yin Marine Pte Ltd                            ,sales@hymarine.com                                               
Impex Marine (S) Pte Ltd                          ,"info@impexmarine.com.sg (agency),ops@impexmarine.com.sg (bunkers)"
